TRI Incident Number,Subject Injury Level,Subject Injured,Age,Subject Race,Subject Gender,Force Against MOS,Subject Used Force
2020067962161,No Injury,N,,BLACK,MALE,Physical Force,Y
2020079962086,No Injury,N,,BLACK,MALE,Physical Force,Y
2020082962035,No Injury,N,,BLACK,MALE,Physical Force,Y
2020082962095,No Injury,N,,BLACK,MALE,Physical Force,Y
2020086962065,No Injury,N,,BLACK,MALE,Physical Force,Y
2020089962040,No Injury,N,,BLACK,MALE,Physical Force,Y
2020089962132,No Injury,N,,BLACK,MALE,Physical Force,Y
2020092962072,No Injury,N,,BLACK,MALE,Physical Force,Y
2020092962091,No Injury,N,,BLACK,MALE,Physical Force,Y
2020092962131,No Injury,N,,BLACK,MALE,Physical Force,Y
2020092962135,No Injury,N,,BLACK,MALE,Physical Force,Y
2020092962152,No Injury,N,,BLACK,MALE,Physical Force,Y
2020092962181,No Injury,N,,BLACK,MALE,Physical Force,Y
2020092962185,No Injury,N,,BLACK,MALE,Physical Force,Y
2020092962206,No Injury,N,,BLACK,MALE,Physical Force,Y
2020092962235,No Injury,N,,BLACK,MALE,Physical Force,Y
2020094962220,No Injury,N,,BLACK,MALE,Physical Force,Y
2020097962028,No Injury,N,,BLACK,MALE,Physical Force,Y
2020098962082,No Injury,N,,BLACK,MALE,Physical Force,Y
2020100962049,No Injury,N,,BLACK,MALE,Physical Force,Y
2020102962066,No Injury,N,,BLACK,MALE,Physical Force,Y
2020102962104,No Injury,N,,BLACK,MALE,Physical Force,Y
2020103962115,No Injury,N,,BLACK,MALE,Physical Force,Y
2020103962159,No Injury,N,,BLACK,MALE,Physical Force,Y
2020109962070,No Injury,N,,BLACK,MALE,Physical Force,Y
2020113962039,No Injury,N,,BLACK,MALE,Physical Force,Y
2020113962052,No Injury,N,,BLACK,MALE,Physical Force,Y
2020120962062,No Injury,N,,BLACK,MALE,Physical Force,Y
2020122962178,No Injury,N,,BLACK,MALE,Physical Force,Y
2020122962181,No Injury,N,,BLACK,MALE,Physical Force,Y
2020122962189,No Injury,N,,BLACK,MALE,Physical Force,Y
2020123962047,No Injury,N,,BLACK,MALE,Physical Force,Y
2020126962057,No Injury,N,,BLACK,MALE,Physical Force,Y
2020132962044,No Injury,N,,BLACK,MALE,Physical Force,Y
2020132962082,No Injury,N,,BLACK,MALE,Physical Force,Y
2020132962115,No Injury,N,,BLACK,MALE,Physical Force,Y
2020139962043,No Injury,N,,BLACK,MALE,Physical Force,Y
2020139962076,No Injury,N,,BLACK,MALE,Physical Force,Y
2020140962093,No Injury,N,,BLACK,MALE,Physical Force,Y
2020140962094,No Injury,N,,BLACK,MALE,Physical Force,Y
2020140962103,No Injury,N,,BLACK,MALE,Physical Force,Y
2021020962035,No Injury,N,,BLACK,MALE,Physical Force,Y
2021020962049,No Injury,N,,BLACK,MALE,Physical Force,Y
2021020962059,No Injury,N,,BLACK,MALE,Physical Force,Y
2021024962066,No Injury,N,,BLACK,MALE,Physical Force,Y
2021025962050,No Injury,N,,BLACK,MALE,Physical Force,Y
2021025962110,No Injury,N,,BLACK,MALE,Physical Force,Y
2021026962063,No Injury,N,,BLACK,MALE,Physical Force,Y
2021028962092,No Injury,N,,BLACK,MALE,Physical Force,Y
2021028962096,No Injury,N,,BLACK,MALE,Physical Force,Y
2021029962062,No Injury,N,,BLACK,MALE,Physical Force,Y
2021029962079,No Injury,N,,BLACK,MALE,Physical Force,Y
2021032962081,No Injury,N,,BLACK,MALE,Physical Force,Y
2021032962139,No Injury,N,,BLACK,MALE,Physical Force,Y
2021033962136,No Injury,N,,BLACK,MALE,Physical Force,Y
2021033962315,No Injury,N,,BLACK,MALE,Physical Force,Y
2021033962327,No Injury,N,,BLACK,MALE,Physical Force,Y
2021036962069,No Injury,N,,BLACK,MALE,Physical Force,Y
2021037962033,No Injury,N,,BLACK,MALE,Physical Force,Y
2021037962105,No Injury,N,,BLACK,MALE,Physical Force,Y
2021042962081,No Injury,N,,BLACK,MALE,Physical Force,Y
2021044962166,No Injury,N,,BLACK,MALE,Physical Force,Y
2021047962033,No Injury,N,,BLACK,MALE,Physical Force,Y
2021047962056,No Injury,N,,BLACK,MALE,Physical Force,Y
2021047962113,No Injury,N,,BLACK,MALE,Physical Force,Y
2021051962028,No Injury,N,,BLACK,MALE,Physical Force,Y
2021051962058,No Injury,N,,BLACK,MALE,Physical Force,Y
2021053962015,No Injury,N,,BLACK,MALE,Physical Force,Y
2021059962109,No Injury,N,,BLACK,MALE,Physical Force,Y
2021060962090,No Injury,N,,BLACK,MALE,Physical Force,Y
2021061962056,No Injury,N,,BLACK,MALE,Physical Force,Y
2021061962162,No Injury,N,,BLACK,MALE,Physical Force,Y
2021061962171,No Injury,N,,BLACK,MALE,Physical Force,Y
